sim seed ne n mur mud1 mufv1 mud2 mufv2 ts1 int12 genomesize rrate GSS.He GSS.Dj GSS.WCst GSS.S GSS.thetaW GSS.D GSS.Da GSS.ZZ
1 595742433 7008 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.134369460026 0.000153006078115 0.000524701478546 1457 221.852394089 -0.362440029013 7.05223095568e-05 NA
2 347390033 1313 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.116958502699 0.0140274936616 0.112725114219 357 54.3591658818 -0.707285472635 0.0139695466126 NA
3 128301358 4132 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.183105720411 -0.000552258625823 -0.00165516057136 1162 176.933755615 0.623967211738 -0.000302819389547 NA
4 656318793 5080 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.189320676852 -0.000130857895692 -0.000458425756471 1562 237.840384054 0.750574772388 -8.67696356296e-05 NA
5 199601168 4749 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.147709947137 0.00309370296212 0.0166913062172 1190 181.197219606 -0.0922036898665 0.00248616865842 NA
6 659815989 5731 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.17805994836 -0.000828529251737 -0.00258298867688 1588 241.799314903 0.52250393259 -0.000459335088541 NA
7 644324641 3999 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.143881219874 0.000236130856373 0.00142636023765 951 144.805509114 -0.169492261189 0.000205372551505 NA
8 660320154 8130 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.150739859034 0.000197670933145 0.000916159194922 2184 332.550191277 -0.0309547891062 0.000138164839767 NA
9 347897331 2808 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.109184409042 0.00113304453672 0.00693196278567 606 92.2735420851 -0.868122622342 0.00075948803423 NA
10 371217218 426 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.164463198813 0.00189018867602 0.00732194604181 147 22.3831859513 0.23948512894 0.00120860424572 NA
11 689180446 4412 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.153405228087 0.00111865527084 0.00419963838557 1172 178.456421326 0.0230392787058 0.000645598727425 NA
12 701078863 7503 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.179385368739 0.000127235300643 0.000214603262771 2144 326.459528433 0.549821567144 3.8500806271e-05 NA
13 843197743 577 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.128701716603 0.0296147401997 0.190274978099 199 30.3010476484 -0.466785639916 0.0270563369612 NA
14 396250621 7435 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.156894197704 0.00275521593859 0.0101908713944 2064 314.278202745 0.0938142175622 0.00160705672257 NA
15 473487526 290 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.141031186213 0.000696427362687 0.00450043196699 97 14.7698573965 -0.216917253138 0.000636129099104 NA
16 483569345 6918 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.141935898668 -0.000267350473235 -0.0011088201191 1799 273.927561405 -0.209352042193 -0.000157294393032 NA
17 743655116 3389 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.155656714055 0.000414277770878 0.00175518469396 934 142.216977405 0.0685178136864 0.000273445654396 NA
18 241638275 6223 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.143070339196 0.0463260329461 0.214013695823 1607 244.692379754 -0.186297969847 0.0342777759363 NA
19 701917709 5655 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.148594652301 8.81197785919e-05 0.000244153638276 1506 229.313456073 -0.0743698350837 3.6284343363e-05 NA
20 339156965 8877 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.145645083095 -0.000486930984799 -0.00206804664255 2347 357.369642366 -0.134276012099 -0.000300890477098 NA
21 455712347 4477 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.165195759669 9.3567177638e-05 0.000533534373318 1110 169.015893918 0.261540906502 8.81610756477e-05 NA
22 272205934 4482 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.10160182835 0.0286170565515 0.189083690629 942 143.435109974 -1.02402796364 0.0212116071333 NA
23 816178763 520 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.163104547082 0.00731440726363 0.0242890945612 140 21.3173199537 0.212453924535 0.00401024228284 NA
24 164081790 4857 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.157775525617 0.0490004191166 0.20548620558 1417 215.761731245 0.111552313706 0.0361227565137 NA
25 196810851 5563 100 1e-07 0.5 0 0.5 0.5 25 25 1e+05 1e-08 0.159583446173 -0.0001038537069 -0.000133074152804 1527 232.511054066 0.148200631919 -2.12350225257e-05 NA
